DRAFT YEAR,PLAYER,DRAFTEDBY,PREDRAFT,2122TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Rank,Position,Age,Games,GamesStarted,MPERG,FGPER,3PPER,2PPER,eFGPER,FTPER,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Quentin Grimes,LA Clippers,Houston,NYK,1,25,25,211,SG,21,46,6,17.1,0.404,0.381,0.5,0.557,0.684,2,1,0.7,0.2,0.6,1.6,6
2021,Sandro Mamukelashvili,Indiana Pacers,Seton Hall,MIL,2,24,54,345,PF,22,41,3,9.9,0.496,0.423,0.556,0.591,0.818,2,0.5,0.2,0.2,0.4,0.7,3.8
2021,Santi Aldama,Utah Jazz,Loyola-Maryland,MEM,1,30,30,4,PF,21,32,0,11.3,0.402,0.125,0.56,0.424,0.625,2.7,0.7,0.2,0.3,0.5,1.1,4.1
2021,Scottie Barnes,Toronto Raptors,Florida State,TOR,1,4,4,32,PF,20,74,74,35.4,0.492,0.301,0.543,0.524,0.735,7.5,3.5,1.1,0.7,1.8,2.6,15.3
2021,Scottie Lewis,Charlotte Hornets,Florida,CHO,2,26,56,331,SG,21,2,0,3.5,,,,,0.5,0,0.5,0.5,0,0,0,0.5
2021,Sharife Cooper,Atlanta Hawks,Auburn,ATL,2,18,48,116,PG,20,13,0,3,0.214,0.167,0.25,0.25,,0.4,0.4,0,0,0.4,0.1,0.5
2021,Tre Mann,Oklahoma City Thunder,Florida,OKC,1,18,18,347,PG,20,60,26,22.8,0.393,0.36,0.421,0.476,0.793,2.9,1.5,0.8,0.2,1.2,1.7,10.4
2021,Trey Murphy III,Memphis Grizzlies,Virginia,NOP,1,17,17,399,SF,21,62,1,13.9,0.394,0.382,0.418,0.522,0.882,2.4,0.6,0.4,0.1,0.3,1,5.4
2021,Usman Garuba,Houston Rockets,Madrid (ESP),HOU,1,23,23,186,PF,19,24,2,10,0.432,0.25,0.583,0.489,0.714,3.5,0.7,0.4,0.5,0.3,1.2,2
2021,Ziaire Williams,New Orleans Pelicans,Stanford,MEM,1,10,10,590,SF,20,62,31,21.7,0.45,0.314,0.632,0.54,0.782,2.1,1,0.6,0.2,0.7,1.8,8.1
